name,genre
JoJo no Kimyou na Bouken Part 4  Diamond wa Kudakenai,Action | Adventure | Comedy | Supernatural | Drama | Shounen
Aria the Origination,Sci-Fi | Slice of Life | Fantasy | Shounen
Zoku Owarimonogatari,Mystery | Comedy | Supernatural | Vampire
Kingdom 3rd Season,Action | Military | Historical | Seinen
Mo Dao Zu Shi,Action | Adventure | Mystery | Comedy | Historical | Supernatural
Saiki Kusuo no \xce\xa8-nan 2,Slice of Life | Comedy | Supernatural | School | Shounen
Boku no Hero Academia 2nd Season,Action | Comedy | Super Power | School | Shounen
Koukaku Kidoutai  Stand Alone Complex 2nd GIG,Action | Military | Sci-Fi | Mystery | Police | Mecha | Seinen
Gintama  Porori-hen,Action | Sci-Fi | Comedy | Historical | Parody | Samurai | Shounen
Haikyuu  To the Top,Comedy | Sports | Drama | School | Shounen
JoJo no Kimyou na Bouken Part 3  Stardust Crusaders 2nd Season,Action | Adventure | Supernatural | Drama | Shounen
Rainbow  Nisha Rokubou no Shichinin,Drama | Historical | Seinen | Thriller
Uchuu Kyoudai,Comedy | Sci-Fi | Seinen | Slice of Life | Space
Gintama Movie 1  Shinyaku Benizakura-hen,Action | Sci-Fi | Comedy | Historical | Parody | Samurai | Shounen
Slam Dunk,Comedy | Sports | Drama | School | Shounen
Steins Gate 0,Sci-Fi | Thriller
Steins Gate Movie  Fuka Ryouiki no D\xc3\xa9j\xc3\xa0 vu,Sci-Fi | Drama
Hotaru no Haka,Drama | Historical
Kaze ga Tsuyoku Fuiteiru,Comedy | Sports | Drama
Mob Psycho 100,Action | Slice of Life | Comedy | Supernatural
Neon Genesis Evangelion  The End of Evangelion,Sci-Fi | Dementia | Psychological | Drama | Mecha
Boku no Hero Academia 3rd Season,Action | Comedy | School | Shounen | Super Power
,
